malayalam_words,english_words,semantic_meaning
ഐഡി,faculty_id,attribute
id,faculty_id,attribute
ID,faculty_id,attribute
Id,faculty_id,attribute
നാമം,mname,attribute
പേര്,mname,attribute
ഡിപാർട്ട്മെൻറ്,department,attribute
വിഭാഗം,department,attribute
വകുപ്പ്,department,attribute
ഫോണ്‍,contact,attribute
നംബർ,contact,attribute
ഫോണ്നംബർ,contact,attribute
കോണ്ടാക്ട്,contact,attribute
ബന്ധം,contact,attribute
ശംബളം,salary,attribute
ശമ്പളം,salary,attribute
വേതനം,salary,attribute
തുക,salary,attribute
പൈസ,salary,attribute
രൂപ,salary,attribute
