malayalam_words,english_words,semantic_meaning
വേണം,select,operation
തരുക,select,operation
തരൂ,select,operation
തരു,select,operation
തരിക,select,operation
നൽകുക,select,operation
ലഭ്യമാക്കുക,select,operation
കാണിക്കുക,select,operation
എടുക്കുക,select,operation
എവിടെ,select,operation
എത്ര,select,operation
എന്ത്,select,operation
ആര്,select,operation
ഏതാണ്,select,operation
ഏത്,select,operation
കളയുക,delete,operation
മാറ്റ്,delete,operation
മാറ്റുക,delete,operation
നീക്കം,delete,operation
നീക്ക്,delete,operation
ഇന്‍സേര്‍ട്ട്,insert,operation
കയറ്റുക,insert,operation
കൊടുക്കുക,insert,operation
ആക്കുക,update,operation
വ്യത്യാസപ്പെടുത്തുക,update,operation
കൂടുതൽ,greater,condition
കുറവ്,less,condition
മുകൾ,greater,condition
മേലെ,greater,condition
മേൽ,greater,condition
താഴെ,less,condition
ഇടയ്ക്ക്,between,condition
മുതൽ,between,condition
തൊട്ട്,between,condition
വിവരം,all,all_attributes
എല്ലാം,all,all_attributes
എല്ലാ,all,all_attributes
